date,cases
2020-03-04,1
2020-03-05,2
2020-03-06,4
2020-03-07,4
2020-03-08,6
2020-03-09,11
2020-03-10,15
2020-03-11,23
2020-03-12,29
2020-03-13,50
2020-03-14,75
2020-03-15,98
2020-03-16,176
2020-03-17,268
2020-03-18,427
2020-03-19,735
2020-03-20,896
2020-03-21,1336
2020-03-22,1914
2020-03-23,2844
2020-03-24,3675
2020-03-25,4402
2020-03-26,6876
2020-03-27,8825
2020-03-28,11124
2020-03-29,13386
2020-03-30,16636
2020-03-31,18696
2020-04-01,22255
2020-04-02,25590
2020-04-03,29895
2020-04-04,34124
2020-04-05,37505
2020-04-06,41090
2020-04-07,44416
2020-04-08,47437
2020-04-09,51027
2020-04-10,54588
2020-04-11,58151
2020-04-12,61850
2020-04-13,64584
2020-04-14,68824
2020-04-15,71030
2020-04-16,75317
2020-04-17,78467
2020-04-18,81420
2020-04-19,85301
2020-04-20,88806
2020-04-21,92387
2020-04-22,95865
2020-04-23,99989
2020-04-24,102196
2020-04-25,105523
2020-04-26,109038
2020-04-27,111188
2020-04-28,113138
